taxon,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC3J_9,0.218948332276238,14.83,0.00023188400385194,0.969550479223237,-0.709457529632813,0
AZC3J_20,0.649047031202352,13.66,0.00048323367356491,0.969550479223237,-0.00135806298893879,0
AZC3J_21,0.366075020085849,15,0.00053250714841602,0.969550479223237,0.0403890333563197,0
AZC3J_25,3.13172796063131,8.8,2.63206880556e-06,0.969550479223237,4.08950708980691,0
AZC3J_28,1.81405933062817,21.44,0.0001594710222702,0.969550479223237,-1.15235264843559,0
AZC3J_32,0.42886638258786,21.22,1.501527906883e-05,0.969550479223237,4.37781225321568,0
AZC3J_49,2.61196031191156,15.25,3.54609724064e-05,0.969550479223237,0.252722464087788,0
AZC3J_55,5.88084939420432,8.96,6.36517345826e-06,0.969550479223237,5.25016274214894,0
AZC3J_56,0.434948875675544,15.43,0.00015308719423063,0.969550479223237,-0.0300867984514687,0
AZC3J_57,0.506218814376833,3.02,1.632431456858e-05,0.969550479223237,-0.381169216953586,0
AZC3J_59,0.718395622848455,13.07,0.00013830399044503,0.969550479223237,0.0274735565319229,0
AZC3J_61,0.332487274451105,16.16,0.00032850304224236,0.969550479223237,-0.0787827964143951,0
AZC3J_64,1.86262832514001,14.69,8.60144822382e-05,0.969550479223237,0.094589268598975,0
AZC3J_73,0.253927201878515,15.02,0.00039179392768407,0.969550479223237,-0.197351759475759,0
AZC3J_74,12.3822936695738,21.95,2.229812009385e-05,0.969550479223237,7.75016325541726,1
AZC3J_77,0.269004493977111,16.6,0.00039510238179894,0.969550479223237,-0.093677829552708,0
AZC3J_79,5.33816935156181,3.32,7.60506098767e-06,0.969550479223237,-0.425614165589363,0
AZC3J_82,3.48070623549275,15.71,0.00047308599634291,0.969550479223237,0.189642726061915,0
AZC3J_87,10.4280701330805,17.24,1.139023688312e-05,0.969550479223237,6.77200172194315,1
AZC3J_88,0.761876553052929,21.87,4.323318090204e-05,0.969550479223237,3.57377109618163,0
AZC3J_91,0.370610225747873,14.65,0.00084449433784248,0.969550479223237,0.0558693394593233,0
AZC5T_21,0.306970774213491,13.42,0.00028846881150108,0.969550479223237,0.506767298477034,0
AZC5T_22,1.71109149702498,21.31,0.00014095415809029,0.969550479223237,-1.3660873153198,0
AZC5T_69,3.36128999819508,16.7,0.00038042880112886,0.969550479223237,-0.0736477116866015,0
AZC5T_87,1.24422459286173,3.66,6.318252276115e-05,0.969550479223237,0.212057545302255,0
AZC5T_98,0.884894576496688,8.38,2.80367714143e-06,0.969550479223237,4.28273883274483,0
AZC5T_106,5.44796162832147,18.45,2.46830043269e-06,0.969550479223237,8.78280093149913,1
AZC7E_4,4.04450275214751,15.54,1.01481114921e-06,0.969550479223237,9.14513661920576,1
AZC7E_16,0.786055287371896,8.68,1.708605372547e-05,0.969550479223237,2.64662871936659,0
AZC7E_25,3.31517277042275,21.26,4.570483067947e-05,0.969550479223237,5.50391387199089,1
AZC7E_34,0.478472749851391,13.03,0.00024572190425294,0.969550479223237,0.209543012634687,0
AZC7E_54,1.3366736167828,20.95,2.446042133632e-05,0.969550479223237,5.13381043134918,0
AZC7E_60,0.32125086910269,20.98,2.36192008564e-06,0.969550479223237,5.45628716050081,0
AZC7E_70,0.475067572426963,19.64,1.58002527963e-06,0.969550479223237,6.12433695795846,0
AZC7E_74,0.48994265352345,17.53,0.00030415374739939,0.969550479223237,-0.165465853784455,0
AZC7E_116,3.03365590387444,6.12,7.1213105137e-06,0.969550479223237,-0.565637151362093,0
AZC9C_6,0.406895237004574,22.55,2.05285686907e-06,0.969550479223237,6.27231221119619,0
AZC9C_7,3.66373662359638,22.1,2.74152807413e-06,0.969550479223237,8.23445057131754,1
AZC9C_25,0.378863082116966,22.61,0.00025291464528406,0.969550479223237,1.7959176020349,0
AZC9C_30,0.372264911201836,3.26,2.494894774695e-05,0.969550479223237,-0.507539745555585,0
AZC9C_68,1.08339759463144,22.38,0.00044193118268263,0.969550479223237,1.83779659628149,0
AZC9C_69,2.94020132808439,10.78,8.346103880041e-05,0.969550479223237,3.94031060591367,0
AZC9C_80,0.373029077242435,9.47,5.653405873206e-05,0.969550479223237,0.651974895274679,0
AZC9C_81,0.266070480598569,14.89,0.00037293474747311,0.969550479223237,-0.0823077032481452,0
AZC9C_91,0.535838207894486,16.99,0.00082262858677805,0.969550479223237,-1.03343336247197,0
AZC9C_96,0.53068963278998,3.02,7.920364663782e-05,0.969550479223237,-0.740638545601618,0
AZC9C_108,0.709246126613158,14.46,0.00050628168350007,0.969550479223237,0.158610954525664,0
AZC9C_110,1.09931822882637,16.2,0.00034938009970242,0.969550479223237,0.311902113430371,0
AZC9C_115,0.462415414466255,3.36,3.301255719962e-05,0.969550479223237,-0.31799937752457,0
